date,avg_price,median_price,min_price,max_price,volume,volatility_std,reference_price,sources,sma_7,sma_14,sma_30
2026-01-11,169114,166147,155563,187570,22,9683,,,166147,166147,166147
2026-01-12,169114,166147,155563,187570,22,9683,,,166147,166147,166147
2026-01-13,168368,165857,155563,187570,22,10077,,,166050,166050,166050
2026-01-16,168123,166143,155563,187570,17,8810,,,166073,166073,166073
2026-01-17,168427,169748,153264,187570,20,10130,,,166808,166808,166808
2026-01-18,168427,169748,153264,187570,20,10130,,,167298,167298,167298
2026-01-19,168427,169748,153264,187570,20,10130,,,167648,167648,167648
2026-01-20,165169,161435,153563,187570,8,13087,,,166975,166871,166871
2026-01-21,167159,165621,153264,187570,18,10096,,,166900,166732,166732
2026-01-22,166858,165379,153264,187570,18,10244,,,166831,166597,166597
2026-01-23,167183,164824,153264,187570,18,10652,,,166643,166436,166436
2026-01-24,166729,162591,153264,187570,19,10539,,,165620,166115,166115
2026-01-25,166729,162591,153264,187570,19,10539,,,164598,165844,165844
2026-01-26,166729,162591,153264,187570,19,10539,,,163576,165612,165612
2026-01-27,167584,167058,153264,187570,17,10838,,,164379,165677,165708
2026-01-28,167584,167058,153264,187570,17,10838,,,164584,165742,165792
2026-01-29,167616,167058,153264,187570,17,10823,,,164824,165828,165867
2026-01-30,166596,167058,153264,183637,17,9338,,,165143,165893,165933
2026-01-31,165850,163052,153264,183637,15,9519,,,165209,165415,165781
2026-02-01,162783,162513,153563,183637,7,9916,,,165198,164898,165618
2026-02-02,165850,163052,153264,183637,15,9519,,,165264,164420,165496
2026-04-13,170599,170000,156000,187000,27,7629,168610.0,2.0,165684,165031,165700
2026-04-14,169981,170000,156000,187000,26,7823,170000.0,2.0,166104,165344,165887
2026-04-15,169981,170000,156000,187000,26,7823,170000.0,2.0,166525,165674,166059
2026-04-16,170815,170000,156000,187000,27,7398,170000.0,2.0,166945,166044,166216
2026-04-17,170815,170000,156000,187000,27,7398,170000.0,2.0,167937,166573,166362
2026-04-18,170815,170000,156000,187000,27,7398,170000.0,2.0,169007,167102,166497
2026-04-19,170815,170000,156000,187000,27,7398,170000.0,2.0,170000,167632,166622
2026-04-20,170634,170424,156000,187000,30,7130,170212.0,2.0,170060,167872,166753
2026-04-21,170567,170424,156000,187000,30,7066,170424.0,2.0,170121,168112,166875
2026-04-22,170144,172110,156000,180000,30,5799,171772.0,2.0,170422,168473,167074
2026-04-23,170229,172110,154000,187000,32,6944,172110.0,2.0,170724,168834,167273
2026-04-24,170071,172000,154000,187000,33,6895,172055.0,2.0,171009,169473,167477
2026-04-25,171025,172000,160000,187000,23,6543,172000.0,1.0,171295,170151,167673
2026-04-26,170071,172000,154000,187000,33,6895,172000.0,2.0,171581,170790,167748
2026-04-27,170015,171590,154000,187000,34,6802,171795.0,2.0,171747,170904,167809
2026-04-28,169832,170590,154000,187000,34,6743,171172.0,2.0,171771,170946,167837
2026-04-29,168523,170000,154000,180000,35,6285,170118.0,2.0,171470,170946,168123
2026-04-30,168755,170000,154000,187000,36,7096,170000.0,2.0,171168,170946,168269
2026-05-01,168755,170000,154000,187000,36,7096,170000.0,2.0,170882,170946,168423
2026-05-02,168755,170000,154000,187000,36,7096,170000.0,2.0,170597,170946,168595
2026-05-03,168755,170000,154000,187000,36,7096,170000.0,2.0,170311,170946,168842
2026-05-04,169065,170000,155000,187000,36,6882,169832.0,2.0,170084,170916,169089
2026-05-05,169065,170000,155000,187000,36,6882,170000.0,2.0,170000,170885,169336
2026-05-06,168519,170000,155000,180000,36,6104,170000.0,2.0,170000,170735,169434
2026-05-07,168519,170000,155000,180000,36,6104,170000.0,2.0,170000,170584,169532
2026-05-08,168426,170000,155000,180000,36,6050,170000.0,2.0,170000,170441,169630
2026-05-09,168426,170000,155000,180000,36,6050,170000.0,2.0,170000,170298,169728
2026-05-10,169333,170000,160000,180000,26,5122,170000.0,1.0,170000,170155,169960
2026-05-11,169841,170000,159000,180000,29,5154,170000.0,2.0,170000,170042,170210
2026-05-12,169687,170000,158000,180000,30,5138,170000.0,2.0,170000,170000,170441
2026-05-13,169331,170000,160000,180000,32,4463,170000.0,2.0,170000,170000,170441
2026-05-14,169295,170000,160000,180000,32,4462,170000.0,2.0,170000,170000,170441
2026-05-15,169295,170000,160000,180000,32,4462,170000.0,2.0,170000,170000,170441
2026-05-16,169295,170000,160000,180000,32,4462,170000.0,2.0,170000,170000,170441
2026-05-17,169295,170000,160000,180000,32,4462,170000.0,2.0,170000,170000,170441
